GAME_NAME,CATEGORY
Peggle 2,Arcade
Peggle 2,Puzzle
Perfect Heist 2,Indie Game
Perfect Heist 2,Strategy
Poker,Card & Board Game
"Pools, Hot Tubs, and Beaches",IRL
Portal Dungeon,Indie Game
Portal Dungeon,Shooter
Project Zomboid,RPG
Project Zomboid,Simulation
Pummel Party,Arcade
Pummel Party,Indie Game
Punch Club 2: Fast Forward,Fighting
Punch Club 2: Fast Forward,RPG
Punch Club 2: Fast Forward,Simulation
ROBLOX,Adventure Game
ROBLOX,Platformer
ROBLOX,RPG
ROBLOX,Simulation
Red Dead Redemption,RPG
Red Dead Redemption,Shooter
Red Dead Redemption 2,FPS
Red Dead Redemption 2,RPG
Red Dead Redemption 2,Shooter
Remnant II,Action
Remnant II,Horror
Remnant II,RPG
Remnant II,Shooter
Remnant II,Strategy
Risk of Rain 2,Adventure Game
Risk of Rain 2,Shooter
Rocket League,Adventure Game
Rocket League,Creative
Rocket League,Driving/Racing Game
Rocket League,IRL
Rocket League,RPG
Rust,Action
Rust,FPS
Rust,RPG
Rust,Shooter
SCP: 5K,FPS
SCP: 5K,Indie Game
SCP: 5K,Shooter
SUPER DRINK BROS.,Action
SUPER DRINK BROS.,Fighting
Scattergories,Arcade
Scattergories,FPS
Scattergories,Indie Game
Scattergories,Shooter
Scattergories,Strategy
Sea of Thieves,Adventure Game
Sea of Thieves,Simulation
Sekiro: Shadows Die Twice,Action
Sekiro: Shadows Die Twice,Adventure Game
Slots,Gambling Game
Sons of the Forest,Adventure Game
Sons of the Forest,Simulation
Special Events,IRL
Sports,IRL
Starsiege: Deadzone,Action
Starsiege: Deadzone,Shooter
Starsiege: Deadzone,Survival
StopotS,Puzzle
StopotS,Sports Game
Street Fighter 6,Action
Street Fighter 6,Arcade
Street Fighter 6,Fighting
Subnautica,Adventure Game
Subnautica,Indie Game
Super Mario Bros. 3,Action
Super Mario Bros. 3,Platformer
Super Mario Maker 2,Action
Super Mario Maker 2,Platformer
Super Smash Bros. Melee,Fighting
Super Smash Bros. Melee,Platformer
Super Smash Bros. Ultimate,Fighting
Super Smash Bros. Ultimate,Platformer
Tabletop RPGs,RPG
Talk Shows & Podcasts,IRL
Team Fortress 2,Action
Team Fortress 2,FPS
Team Fortress 2,Shooter
Teamfight Tactics,Card & Board Game
Teamfight Tactics,Strategy
Tekken 8,Action
Tekken 8,Fighting
Terminal 81,Adventure Game
Terminal 81,Simulation
The Complex: Expedition,Adventure Game
The Complex: Expedition,Simulation
The Crew: Motorfest,Driving/Racing Game
The Expanse: A Telltale Series,Adventure Game
The Expanse: A Telltale Series,RPG
The Matriarch,Party
The Matriarch,Survival
The Outlast Trials,Adventure Game
The Outlast Trials,Indie Game
The Stubborn of WakGood,Indie Game
The Stubborn of WakGood,RPG
The Stubborn of WakGood,Roguelike
Tom Clancys Rainbow Six Siege,Action
Tom Clancys Rainbow Six Siege,FPS
Tom Clancys Rainbow Six Siege,Shooter
Totally Accurate Battle Simulator,Fighting
Totally Accurate Battle Simulator,Simulation
Tower Bloxx Deluxe,Puzzle
Tower of God: New World,Action
Tower of God: New World,RPG
Trackmania,Driving/Racing Game
Travel & Outdoors,IRL
Tricky Towers,Arcade
Tricky Towers,Indie Game
Tricky Towers,Puzzle
Ultimate Epic Battle Simulator 2,Simulation
Ultimate Epic Battle Simulator 2,Strategy
Until Dawn,Adventure Game
Until Dawn,Horror
VALORANT,Action
VALORANT,FPS
VALORANT,Shooter
VRChat,Adventure Game
VRChat,Simulation
Viewfinder,Platformer
Viewfinder,Puzzle
Warcraft III,RTS
Warcraft III,Strategy
World of Tanks,FPS
World of Tanks,Shooter
World of Tanks,Simulation
World of Warcraft,Action
World of Warcraft,Adventure Game
World of Warcraft,MMO
World of Warcraft,RPG
Worms W.M.D,Action
Worms W.M.D,Strategy
"Yeah! You Want ""Those Games"", Right? So Here You Go! Now, Lets See You Clear Them!",Action
"Yeah! You Want ""Those Games"", Right? So Here You Go! Now, Lets See You Clear Them!",Puzzle
Yet Another Zombie Survivors,Action
Yet Another Zombie Survivors,Indie Game
Yet Another Zombie Survivors,RPG
skribbl.io,Party
