ID,NAME,VIEWS,DATE
305,Diablo IV,50.9 mil espectadores,2023-07-23 03:53:00.0
306,Teamfight Tactics,45.1 mil espectadores,2023-07-23 03:53:00.0
307,Apex Legends,38.7 mil espectadores,2023-07-23 03:53:00.0
308,Remnant II,33.6 mil espectadores,2023-07-23 03:53:00.0
309,Fortnite,32.7 mil espectadores,2023-07-23 03:53:00.0
310,Casino Slot Machine,31.1 mil espectadores,2023-07-23 03:53:00.0
311,Música,28.2 mil espectadores,2023-07-23 03:53:00.0
312,Dead by Daylight,22.7 mil espectadores,2023-07-23 03:53:00.0
313,Minecraft,20.8 mil espectadores,2023-07-23 03:53:00.0
314,Counter-Strike: Global Offensive,20.6 mil espectadores,2023-07-23 03:53:00.0
315,Dota 2,19.4 mil espectadores,2023-07-23 03:53:00.0
316,Call of Duty: Warzone,19.1 mil espectadores,2023-07-23 03:53:00.0
317,FIFA 23,18.9 mil espectadores,2023-07-23 03:53:00.0
318,Tekken 8,18.5 mil espectadores,2023-07-23 03:53:00.0
319,ASMR,17.9 mil espectadores,2023-07-23 03:53:00.0
320,Overwatch 2,16.1 mil espectadores,2023-07-23 03:53:00.0
321,World of Warcraft,13.4 mil espectadores,2023-07-23 03:53:00.0
322,Im Only Sleeping,13.2 mil espectadores,2023-07-23 03:53:00.0
323,Black Desert,12.5 mil espectadores,2023-07-23 03:53:00.0
324,Slots,10.7 mil espectadores,2023-07-23 03:53:00.0
325,MapleStory,9.8 mil espectadores,2023-07-23 03:53:00.0
326,Street Fighter 6,10.1 mil espectadores,2023-07-23 03:53:00.0
327,Call of Duty: Modern Warfare II,9.8 mil espectadores,2023-07-23 03:53:00.0
328,Escape from Tarkov,9.6 mil espectadores,2023-07-23 03:53:00.0
329,Everybody 1-2-Switch,9.6 mil espectadores,2023-07-23 03:53:00.0
330,My Friendly Neighborhood,8.5 mil espectadores,2023-07-23 03:53:00.0
331,Só na conversa,244.5 mil espectadores,2023-07-23 04:10:00.0
332,Grand Theft Auto V,237.3 mil espectadores,2023-07-23 04:10:00.0
333,League of Legends,118.8 mil espectadores,2023-07-23 04:10:00.0
334,VALORANT,61 mil espectadores,2023-07-23 04:10:00.0
335,Diablo IV,49.1 mil espectadores,2023-07-23 04:10:00.0
336,Teamfight Tactics,44.4 mil espectadores,2023-07-23 04:10:00.0
337,Remnant II,34 mil espectadores,2023-07-23 04:10:00.0
338,Fortnite,31.8 mil espectadores,2023-07-23 04:10:00.0
339,Música,30.2 mil espectadores,2023-07-23 04:10:00.0
340,Casino Slot Machine,29.8 mil espectadores,2023-07-23 04:10:00.0
341,Apex Legends,28.9 mil espectadores,2023-07-23 04:10:00.0
342,Counter-Strike: Global Offensive,21.8 mil espectadores,2023-07-23 04:10:00.0
343,Dead by Daylight,21.7 mil espectadores,2023-07-23 04:10:00.0
344,Dota 2,20.3 mil espectadores,2023-07-23 04:10:00.0
345,Minecraft,18.7 mil espectadores,2023-07-23 04:10:00.0
346,FIFA 23,18.7 mil espectadores,2023-07-23 04:10:00.0
347,Tekken 8,18.4 mil espectadores,2023-07-23 04:10:00.0
348,Call of Duty: Warzone,17.5 mil espectadores,2023-07-23 04:10:00.0
349,ASMR,17.3 mil espectadores,2023-07-23 04:10:00.0
350,Overwatch 2,14.9 mil espectadores,2023-07-23 04:10:00.0
351,World of Warcraft,13.8 mil espectadores,2023-07-23 04:10:00.0
352,Im Only Sleeping,13.3 mil espectadores,2023-07-23 04:10:00.0
353,Black Desert,12.9 mil espectadores,2023-07-23 04:10:00.0
354,Escape from Tarkov,10.9 mil espectadores,2023-07-23 04:10:00.0
355,Slots,10.5 mil espectadores,2023-07-23 04:10:00.0
356,MapleStory,10.3 mil espectadores,2023-07-23 04:10:00.0
357,Everybody 1-2-Switch,10.2 mil espectadores,2023-07-23 04:10:00.0
358,Street Fighter 6,10 mil espectadores,2023-07-23 04:10:00.0
359,Call of Duty: Modern Warfare II,9.2 mil espectadores,2023-07-23 04:10:00.0
360,My Friendly Neighborhood,8.1 mil espectadores,2023-07-23 04:10:00.0
361,Só na conversa,236 mil espectadores,2023-07-23 04:25:00.0
362,Grand Theft Auto V,228.9 mil espectadores,2023-07-23 04:25:00.0
363,League of Legends,131.6 mil espectadores,2023-07-23 04:25:00.0
364,VALORANT,62.6 mil espectadores,2023-07-23 04:25:00.0
365,Diablo IV,49.6 mil espectadores,2023-07-23 04:25:00.0
366,Teamfight Tactics,46.1 mil espectadores,2023-07-23 04:25:00.0
367,Fortnite,30.9 mil espectadores,2023-07-23 04:25:00.0
368,Casino Slot Machine,30.7 mil espectadores,2023-07-23 04:25:00.0
369,Música,28.8 mil espectadores,2023-07-23 04:25:00.0
370,Apex Legends,28.1 mil espectadores,2023-07-23 04:25:00.0
371,Remnant II,27.1 mil espectadores,2023-07-23 04:25:00.0
372,Dota 2,23.1 mil espectadores,2023-07-23 04:25:00.0
373,Dead by Daylight,21.9 mil espectadores,2023-07-23 04:25:00.0
374,Counter-Strike: Global Offensive,21.8 mil espectadores,2023-07-23 04:25:00.0
375,FIFA 23,21.1 mil espectadores,2023-07-23 04:25:00.0
376,Tekken 8,19 mil espectadores,2023-07-23 04:25:00.0
377,Minecraft,18 mil espectadores,2023-07-23 04:25:00.0
378,ASMR,17.6 mil espectadores,2023-07-23 04:25:00.0
379,Call of Duty: Warzone,16.9 mil espectadores,2023-07-23 04:25:00.0
380,Overwatch 2,15.2 mil espectadores,2023-07-23 04:25:00.0
381,World of Warcraft,13.9 mil espectadores,2023-07-23 04:25:00.0
382,Im Only Sleeping,13.4 mil espectadores,2023-07-23 04:25:00.0
383,Black Desert,12.3 mil espectadores,2023-07-23 04:25:00.0
384,Escape from Tarkov,11.4 mil espectadores,2023-07-23 04:25:00.0
385,Games + Demos,11.1 mil espectadores,2023-07-23 04:25:00.0
